Date,State,Commodity,Market,Modal Price,Min Price,Max Price,Arrivals (Volume),Rainfall (mm),Temperature Max (°C),Temperature Min (°C),Humidity (%),Festival,Season,MSP,Policy Impact
2020-01-01,Maharashtra,Onion,Lasalgaon,2947.7,2855.15,3053.81,324.55,1.3,32,24,41,None,Rabi,,None
2020-01-01,Maharashtra,Onion,Pune,2738.69,2685.99,2911.25,528.89,0.92,29,18,45,None,Rabi,,None
2020-01-01,Uttar Pradesh,Potato,Agra,2021.87,1884.14,2205.78,409.02,1.91,38,29,35,Diwali,Kharif,,None
2020-01-01,Uttar Pradesh,Potato,Kanpur,1412.15,1261.24,1593.83,553.33,3.09,38,28,58,Holi,Kharif,,None
2020-01-01,Madhya Pradesh,Moong,Indore,2444.6,2246.62,2550.36,435.82,13.03,33,21,42,None,Rabi,2157.59,None
2020-01-01,Madhya Pradesh,Moong,Bhopal,2322.52,2260.8,2483.08,539.76,0.0,30,19,87,None,Summer,1689.74,Export Ban
2020-01-01,Karnataka,Tomato,Bangalore,1219.79,1106.64,1350.75,549.16,0.52,38,26,86,None,Rabi,,None
2020-01-01,Telangana,Tomato,Hyderabad,2785.02,2621.68,2940.77,491.68,0.0,42,30,34,None,Summer,,Export Ban
2020-01-01,Punjab,Wheat,Ludhiana,1385.86,1206.17,1486.68,466.14,0.0,39,29,68,None,Summer,2843.48,None
2020-01-01,Punjab,Wheat,Amritsar,2294.95,2108.87,2440.53,602.0,3.46,34,26,47,None,Kharif,2975.15,None
2020-01-02,Maharashtra,Onion,Lasalgaon,2718.43,2561.63,2839.1,539.32,0.92,34,24,86,None,Kharif,,None
2020-01-02,Maharashtra,Onion,Pune,2528.63,2472.8,2665.63,701.85,0.0,32,21,84,None,Summer,,None
2020-01-02,Uttar Pradesh,Potato,Agra,2967.04,2830.55,3121.93,575.4,6.82,38,26,74,Diwali,Rabi,,None
2020-01-02,Uttar Pradesh,Potato,Kanpur,1083.72,916.11,1205.68,523.31,0.0,26,11,71,Diwali,Summer,,None
2020-01-02,Madhya Pradesh,Moong,Indore,1113.63,1046.38,1240.65,639.75,5.05,30,21,81,None,Rabi,1777.19,None
2020-01-02,Madhya Pradesh,Moong,Bhopal,1635.56,1580.41,1732.44,547.78,2.72,39,30,69,None,Rabi,2107.53,None
2020-01-02,Karnataka,Tomato,Bangalore,1486.52,1400.03,1606.67,448.53,0.0,26,14,62,Ramzan,Summer,,None
2020-01-02,Telangana,Tomato,Hyderabad,2962.53,2901.41,3128.21,513.7,0.0,38,29,39,None,Summer,,None
2020-01-02,Punjab,Wheat,Ludhiana,2187.68,2003.3,2239.15,710.8,1.65,30,23,73,None,Kharif,2569.21,None
2020-01-02,Punjab,Wheat,Amritsar,2729.29,2545.4,2787.93,503.25,0.0,30,19,48,None,Summer,2232.04,Subsidy Introduced
2020-01-03,Maharashtra,Onion,Lasalgaon,2730.88,2557.16,2853.73,417.9,0.0,34,21,66,None,Summer,,None
2020-01-03,Maharashtra,Onion,Pune,1764.35,1616.71,1860.47,401.19,7.93,39,29,41,None,Rabi,,None
2020-01-03,Uttar Pradesh,Potato,Agra,1739.67,1576.4,1825.56,586.62,0.0,38,31,63,None,Summer,,MSP Revised
2020-01-03,Uttar Pradesh,Potato,Kanpur,2951.78,2823.56,3048.1,567.9,1.19,39,34,78,None,Kharif,,None
2020-01-03,Madhya Pradesh,Moong,Indore,1815.4,1649.49,1865.57,796.64,0.0,30,15,32,None,Summer,2658.63,Subsidy Introduced
2020-01-03,Madhya Pradesh,Moong,Bhopal,1768.88,1641.21,1929.29,535.38,0.0,32,26,73,None,Summer,2522.84,None
2020-01-03,Karnataka,Tomato,Bangalore,2116.95,1930.49,2311.99,468.49,0.0,33,25,67,Ramzan,Summer,,Subsidy Introduced
2020-01-03,Telangana,Tomato,Hyderabad,1561.96,1449.03,1634.71,585.28,4.31,28,14,81,None,Kharif,,None
2020-01-03,Punjab,Wheat,Ludhiana,1373.62,1192.14,1486.0,426.42,3.19,31,26,37,None,Rabi,2006.58,None
2020-01-03,Punjab,Wheat,Amritsar,1924.76,1730.52,2085.16,598.28,0.0,36,25,63,None,Summer,2646.33,None
2020-01-04,Maharashtra,Onion,Lasalgaon,2110.7,2052.71,2282.44,379.92,0.0,34,21,89,None,Summer,,None
2020-01-04,Maharashtra,Onion,Pune,1330.94,1197.55,1455.55,476.95,0.0,31,25,47,None,Summer,,None
2020-01-04,Uttar Pradesh,Potato,Agra,1829.3,1633.89,1898.83,427.56,0.0,35,22,71,None,Summer,,None
2020-01-04,Uttar Pradesh,Potato,Kanpur,2939.86,2799.02,3121.68,578.35,4.41,40,29,73,Ramzan,Kharif,,None
2020-01-04,Madhya Pradesh,Moong,Indore,2606.45,2483.09,2670.97,539.27,2.16,40,34,73,None,Kharif,1638.29,None
2020-01-04,Madhya Pradesh,Moong,Bhopal,1434.3,1358.82,1575.02,438.07,3.64,39,31,83,None,Rabi,2560.52,None
2020-01-04,Karnataka,Tomato,Bangalore,1736.39,1623.31,1902.66,499.39,4.14,36,22,85,Diwali,Rabi,,None
2020-01-04,Telangana,Tomato,Hyderabad,1661.05,1527.1,1837.52,559.47,9.7,38,33,42,None,Rabi,,None
2020-01-04,Punjab,Wheat,Ludhiana,2695.84,2598.28,2889.81,507.58,0.0,34,22,90,None,Summer,2509.77,None
